FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
78 123_S_0106 -0.0055052 -0.00636852 -0.0108162 -0.0108924 -0.0067374 -0.00777138 -0.00439951 0.00192638 -0.0123148 0.0109314
80 126_S_0606 0.0152485 -0.00204519 0.00411811 -0.00124334 -0.00518637 -0.00167961 -0.00356435 -0.00617886 0.00825296 0.00669382
81 022_S_0750 -0.00254921 0.0156781 0.00234693 -0.0048228 0.00452606 0.00586723 0.00829522 0.0134272 -0.00271845 0.013042
82 123_S_0094 0.00742067 0.00362892 6.93894e-05 -0.00165285 0.00682112 -0.00151546 -0.00304499 -0.0110603 -0.00372292 -0.00462116
83 041_S_1010 0.0112307 -0.00426576 -0.00702027 0.000131214 -0.0120031 -0.0164918 0.0174535 -0.00558916 -0.00297378 -0.00566834
86 011_S_0005 -0.00592524 0.00869037 0.0108499 0.00116792 -0.00099885 -0.00260585 -0.000334935 0.00763405 -9.10337e-05 -0.00536595
87 062_S_1299 -0.0123374 0.0161585 -0.00121483 -0.00474996 -0.00246598 0.0135164 0.013896 0.00499736 0.0133225 -0.00284674
88 033_S_0923 -0.0144171 -0.0198957 0.0218622 -0.00469485 -0.000952018 -0.00205105 -0.00136367 -0.0123708 0.00629548 -0.0105143
89 033_S_0511 -0.012919 -0.0147318 0.0160759 0.00343119 0.0138299 0.00418836 0.00664885 -0.00281571 -0.000353486 0.00164658
91 032_S_0978 -0.00364829 0.0141476 0.00985495 0.00194214 0.0015472 0.00207478 0.0017235 -0.00390336 -0.0080127 -0.000640652
92 023_S_0613 0.000660195 0.0257949 0.00253236 -0.00140644 0.0022851 -0.00130193 0.00316112 0.00217486 -0.00472234 0.000180225
93 116_S_0834 -0.00509863 -0.0141483 0.0212597 0.00461833 0.00330337 -0.000522375 0.00640953 0.000355069 -0.00660096 -0.00503134
94 023_S_0093 -0.00697957 -0.0195729 0.0186886 -0.00813622 0.00451984 0.000169293 0.00420314 0.00686992 0.00623339 0.0122767
95 116_S_0382 0.016076 -0.00658061 -0.00100785 -0.00171619 -0.000245287 0.00125853 -0.00519317 -0.00656239 0.0097637 -0.0114989
97 024_S_1393 -0.0174511 -0.0167642 0.0148039 0.0173761 -0.00668584 0.000267843 0.00406581 0.00422678 -0.00101962 0.000957188
98 018_S_0425 -0.0025036 -0.00227026 -0.00209357 -0.0140305 0.00278455 0.00088721 -0.0134239 0.00899183 0.00399553 -0.00520761
103 021_S_0424 0.0149589 -0.0014975 -0.00485618 -0.012387 -0.00285317 0.000707237 0.0110915 -0.00547591 0.00540738 -0.00672298
104 057_S_1007 0.0122076 0.00702354 0.00308226 -0.00443507 -0.00759587 -0.00711564 -0.0081316 0.00662217 0.00168191 -0.0104167
105 033_S_0922 0.0152234 0.00219045 0.000300674 -0.00873618 -0.00417233 -0.00314806 -0.0129194 0.000514126 0.00849514 -0.00216378
106 006_S_0484 0.00454354 0.00484537 0.00121807 -0.00751534 -0.00298277 0.000452754 -0.0116117 -0.00516843 -0.0082886 0.00494362
108 128_S_1409 0.0183795 0.00136515 0.00320531 0.0155318 -0.00481078 -0.00300922 0.013095 -0.00202305 0.00881246 -0.00664681
110 068_S_0442 0.00328287 -0.00467632 0.00581243 -0.00431397 0.00604044 0.0140043 0.00660541 0.0139982 0.000190922 -0.0165269
113 014_S_0548 0.0145212 0.000992235 0.00284446 -0.0100704 0.00348529 0.00817386 -0.015795 0.0126786 -0.00360724 -0.0119826
115 131_S_0497 -0.00234714 0.0137097 -0.00201919 0.0220825 -0.00593419 -0.0205893 0.0162253 0.0100203 -0.00315735 -0.0067062
116 033_S_0723 -0.0228153 -0.0144367 0.00551775 0.0089821 -0.00320159 -0.022134 -0.00921278 -0.00110461 0.00685633 -0.00483376
117 130_S_0449 0.00248678 -0.00223277 -0.00141396 0.00267532 -0.00199019 -0.00773952 0.00740069 -0.00220115 -0.0131365 0.0137094
118 033_S_0516 -0.000611887 0.0167676 0.00424072 0.00389984 -0.00356089 4.12151e-05 0.000967458 -0.00359292 0.00695709 0.0109023
119 100_S_0069 0.00467751 0.00414244 -0.00225518 -0.00333406 -0.0166397 0.0129704 -0.00465481 -0.00418061 -0.00803753 0.00163126
121 137_S_0438 -0.000367479 -0.00837415 -0.0082599 0.00290898 0.0148453 -0.00555902 -0.00122724 0.00716198 -0.00755304 0.00682355
122 036_S_0672 -0.0203063 -0.0134771 0.0148575 -0.0031494 -0.00209375 -0.00242726 -0.00169809 0.00524243 -0.00256637 -0.00159513
123 018_S_0450 -0.00333442 0.0188201 0.000870416 0.00552609 0.000751997 0.00544157 0.00259513 0.00264213 0.00329434 0.00274721
124 041_S_0721 -0.00634177 -0.00714915 -0.0110885 -0.00389876 -0.00567698 0.00319907 0.0172261 -0.00382495 0.00526786 4.30243e-05
125 011_S_1080 -0.013085 0.013678 0.00354673 -0.0012874 -0.00724934 -0.00299237 0.0173608 0.00352615 -0.0026887 0.00992471
126 012_S_1009 0.0148414 0.00152848 0.00221291 -0.00882042 0.00125082 0.00970502 0.00192821 -0.00228216 0.0142516 -0.00875377
128 022_S_0044 0.015987 0.00547735 -0.00463102 0.000568249 -0.00899432 -0.0095358 -0.00051395 -0.00410585 0.00252973 -0.00255415
129 027_S_0644 -0.00858915 -0.00871367 0.0226294 -0.0049383 0.00239635 -0.0029553 -0.0114961 -0.00101978 0.0023666 -0.00699467
130 941_S_1311 9.58662e-05 0.0233251 0.0091439 0.00500151 0.00512987 0.0064401 -0.00569577 -0.00526351 -0.00250312 0.00203278
131 136_S_0874 -0.0198921 -0.0147944 0.00911811 0.00379214 -0.0119749 0.00756453 -0.00758306 -0.00319778 0.00170866 -0.00658913
132 053_S_0621 -0.012626 -0.00343181 -0.0193156 -0.0083033 -0.0156451 0.00521457 0.0017329 -0.00316441 -0.00309614 -0.00680437
138 067_S_0019 0.0165391 -0.00784784 -0.00333584 0.0108136 -0.0040649 -0.0124315 0.00708448 0.00604906 0.0118726 -0.00490627
139 007_S_1206 -0.00509618 0.0170217 0.00390293 0.00278954 -0.0087181 -0.00558396 0.00408235 0.0068065 -0.0137661 -0.0019821
140 033_S_0920 -0.0125209 -0.00190265 -0.00620385 0.00600138 -0.00356027 0.0109786 0.00634716 -0.0132644 0.00470168 -0.00222193
141 007_S_0316 -0.0158573 -0.00202062 -0.0155473 0.00389309 -0.00329439 -0.0273082 0.00709972 -0.00590234 0.0101943 -0.00511947
142 141_S_1152 0.0149131 0.00180327 0.00636173 0.00550922 0.0115803 0.000898436 -0.00257136 0.00554821 0.0110625 0.0178433
143 141_S_0853 -0.00730488 -0.0066904 -0.00415119 -0.00159344 -0.005327 0.00859839 -0.0106264 0.00500318 -0.00697872 -0.00586511
144 136_S_0186 -0.003923 0.0208306 0.0076653 -0.0118379 0.0037049 0.00113276 -0.000576344 0.0104074 -0.0146873 -0.00929685
145 126_S_0784 0.0179478 0.00638743 0.00810388 -0.004577 0.00522608 -0.00109741 -0.0141351 0.00199873 0.0112922 -0.00587064
