num_features,num_nn_layers,global_best_accuracy
26,6,0.7
23,6,0.76
23,6,0.76
23,5,0.75
23,5,0.75
23,3,0.78
23,3,0.76
23,6,0.74
22,6,0.76
34,6,0.7
