Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
1,0.610232383808096,0.62080966405463,0.5657125513555291,0.6172074833695697,0.6127761702192563,0.5902744325979932
2,0.6041604197901049,0.5992250029672225,0.6091246907351696,0.6275724446127138,0.6433099873321565,0.6031528459318074
3,0.6631634182908546,0.6519769155450044,0.6850255153422162,0.6673808497889189,0.6954210092341786,0.6673776471338073
4,0.6570914542728636,0.644901002316334,0.6897497131803356,0.6513720201120903,0.6920582330370056,0.6658620279528716
5,0.6675262368815591,0.6614090180133667,0.6799817135191017,0.6740224674483043,0.7036947796588069,0.6694622606141061
6,0.6683808095952024,0.6587211194770264,0.6877801464788053,0.6805923543285812,0.7089324158350384,0.6723794374332368
7,0.6692278860569715,0.6634102646734281,0.6842813186068629,0.6974872644649099,0.7145554591850294,0.6723280450103374
8,0.6675262368815593,0.6573519806242342,0.6996985800783577,0.6796614998294392,0.7052521693382284,0.6762788614739359
9,0.6597001499250376,0.6538978192638472,0.6769476803110666,0.6806816518085796,0.7067842005698,0.6642346621375023
10,0.6544677661169416,0.6488473047187162,0.6738580890750031,0.6682763825903509,0.699521083118767,0.6596966557226351
11,0.6640404797601198,0.6576221637048759,0.6851846374374023,0.674868246543064,0.7026344777553306,0.6697541889030714
12,0.6571139430284857,0.6520427640262143,0.6752069118269202,0.6794668604720607,0.7020114089714911,0.6615248977052469
13,0.6614092953523238,0.6572088908614693,0.6764718993056907,0.6724670314718229,0.6970329735760974,0.6649523993916594
14,0.65452023988006,0.6542172124588945,0.6602402089490897,0.674836919239431,0.7014743191116513,0.6543790106096733
15,0.6683883058470765,0.6663292897373906,0.6762258461470274,0.6818804211002653,0.707172961220048,0.669341570380656
16,0.6501424287856072,0.6496612769467676,0.658221295832057,0.6764883290811793,0.7032700197476575,0.6513822631285505
17,0.6553373313343329,0.6577508373499905,0.6519438165227326,0.6774308312181142,0.7038972338226103,0.6525422003014192
18,0.6597301349325337,0.6619734897394443,0.6649541137087492,0.6863774401241317,0.7050185857532819,0.6590920925192894
19,0.6570764617691155,0.6608382838118894,0.6580760892806479,0.6807030476407994,0.7025194237428172,0.6558415372443177
20,0.6562593703148425,0.6613376806328617,0.6481034373829437,0.6901988338858858,0.7049768461146521,0.6524011619593246
21,0.6423463268365818,0.644626109485128,0.6490603934823856,0.6881389420427532,0.704549010462994,0.6430231402899164
22,0.6484032983508248,0.6517005928543997,0.6421426196550106,0.6696319093549449,0.6893432364694427,0.6440336788755492
23,0.6501499250374814,0.6555061984121888,0.6460964117419259,0.6716376052466431,0.6886604228631189,0.6464698674723313
24,0.657983508245877,0.6651954645786834,0.6442384260056062,0.6795275325206807,0.6956153546627113,0.651815593273201
25,0.6501499250374813,0.6607171049616556,0.6314319808163026,0.682037675817243,0.6997530200116926,0.6411895490997142
26,0.6657496251874063,0.67499854668796,0.6544090116634997,0.6767663538418527,0.6992471130319972,0.6602949863012638
27,0.6614542728635683,0.6657821705844374,0.6574199583066596,0.6701592252394865,0.6875243753621109,0.6583108643694823
28,0.6605397301349326,0.6708070429962498,0.6453977164709349,0.6732364874734493,0.6961316193024605,0.6542943851639841
29,0.6509895052473763,0.6628772613590614,0.6261691444126469,0.6762813215446737,0.6962652481056273,0.6400017700236085
30,0.6536506746626687,0.6620654431683836,0.6448764895317001,0.6718344450903997,0.6900832554373408,0.6494223693297174
31,0.655367316341829,0.6620415444046762,0.6473790035442168,0.6733888706008091,0.6887918973951912,0.6499427721245536
32,0.6414917541229386,0.653373574152887,0.6204345345606543,0.6679446186643189,0.6872365846747787,0.6304614009729188
33,0.6501574212893553,0.6588586718659919,0.6360788241917156,0.671856479319073,0.6887903210496901,0.6426556386190967
34,0.6327886056971513,0.6426396310377214,0.6073298553720297,0.672487070256765,0.6882256584283958,0.621118453141624
35,0.6266866566716641,0.6385705972870557,0.6004066356060752,0.6578124899154297,0.6736528472868212,0.6145811214966322
36,0.639752623688156,0.6458829756528549,0.6357886354253547,0.6622827149182691,0.6819766121713776,0.6357809712756237
37,0.6457946026986507,0.654311842088605,0.634299263650869,0.6660696733094923,0.6904635233378221,0.6386762540745246
38,0.6327811094452774,0.640619211427312,0.626064523822425,0.6597523568563197,0.6782331157052117,0.628564564007157
39,0.63715892053973,0.6444169514894192,0.629132787179377,0.6636492812161924,0.6852804626405392,0.6318933315035932
40,0.6388230884557722,0.6514938896875162,0.6117883500294151,0.6646393467214595,0.6809271518456177,0.6263358406446294
41,0.631904047976012,0.6424653086778525,0.6089399203676673,0.6625689834064493,0.6789522550368242,0.621282375279519
42,0.6371664167916041,0.6476183691110823,0.6159068105713621,0.6628073919407793,0.6779415581948387,0.6269681287564725
43,0.6423463268365818,0.6459071224481654,0.6388798829536313,0.6505457339036246,0.6702379182089653,0.6388119055560966
44,0.6388605697151424,0.6501514444598808,0.6119365987366869,0.6512305453316163,0.6810830966168876,0.6263553043145856
45,0.6302023988005996,0.6384455637609824,0.6060499969511612,0.6511004884158743,0.6750460268445349,0.618720182156695
46,0.6345502248875561,0.6487797519081909,0.6010018406373232,0.6542419003315867,0.6690783061992778,0.6199107226813965
47,0.6449250374812594,0.6542537321804474,0.6208104945472193,0.6473637289943934,0.6837387313440638,0.6342524029989484
48,0.6345502248875563,0.643290334106171,0.6105235410764533,0.6677331794778073,0.6806960335104553,0.6238351440690456
49,0.6336431784107945,0.6474103481330372,0.601065374731953,0.6539908545714747,0.669227310144708,0.6195183668342333
50,0.6311019490254872,0.6459255854781325,0.595316336750926,0.6423030018014539,0.6781716294067585,0.6160290532098662
51,0.6293028485757122,0.6412455664744299,0.6064207216910302,0.643376733513801,0.6674653434695111,0.6188876325008705
