Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
1,0.643968253968254,0.6600954781372738,0.6130712197159565,0.7350978466452269,0.6958649995085753,0.6308630030959752
2,0.6265873015873016,0.6424979114452799,0.6000449039264828,0.7243503308617258,0.7099695780846451,0.6142631153931464
3,0.6238888888888889,0.652033647467084,0.5828926482873852,0.7114299318551345,0.6982950909408597,0.6079968394982627
4,0.6519047619047619,0.6763779168887528,0.6148475355054304,0.7206114894995082,0.7089457617354935,0.639533953083214
5,0.665952380952381,0.6913379091668566,0.6417073934837092,0.7387263153323368,0.7215501280434201,0.6560229666865247
6,0.6746031746031745,0.704294668609684,0.6391927736006684,0.7393491783650068,0.7188575851393189,0.6628232252383356
7,0.6802380952380953,0.7212260288730877,0.6154573934837094,0.7517556935302967,0.7251669110139183,0.6586784215152337
8,0.671984126984127,0.6946926847662143,0.6328185045948204,0.745753710892695,0.7338292162869047,0.6575114438658081
9,0.6661111111111111,0.6980224930728027,0.6097775689223058,0.7428685474448862,0.732015357020001,0.6456441036825288
10,0.6604761904761904,0.6840919701213818,0.6194005847953217,0.7507016978129359,0.7434350186468349,0.6453925918204856
11,0.6690476190476191,0.6896328916181858,0.6118170426065163,0.744472355020307,0.7386395345662633,0.6437760075099767
12,0.6889682539682539,0.7399972357363999,0.6044308688387635,0.7532430414201513,0.7418822532911801,0.6578969396062175
13,0.6774603174603173,0.7127752639517346,0.6015392648287385,0.7478393460617854,0.7398679323581285,0.648430545826556
14,0.6663492063492062,0.7055551066580479,0.5813648705096073,0.7638785134145133,0.7464858428751617,0.633022749886013
15,0.677063492063492,0.7182616467639688,0.5900114870509607,0.7496426199509505,0.7347103092699068,0.6423883200970315
16,0.6776984126984127,0.7106209150326798,0.6195102339181286,0.7460309142664052,0.7428954166461906,0.6570096243625656
17,0.6715873015873017,0.7151185089420384,0.5703038847117794,0.748472189615778,0.7329992546726293,0.629531490015361
18,0.6719841269841269,0.714378366731308,0.5865434419381789,0.7571714812308133,0.7454013847254302,0.6400709580548292
19,0.6884920634920635,0.7195924908424909,0.6104281537176274,0.7514578652840835,0.7391552355835121,0.6578191087322967
20,0.668968253968254,0.7079085701879819,0.5899018379281538,0.7516267509381163,0.7442378072086534,0.6391556094072779
21,0.6688888888888889,0.7189366515837105,0.5478623642439431,0.7578768131564089,0.7373518190902091,0.6195027258215114
22,0.6549206349206349,0.6942707047854106,0.5490580618212196,0.7566597028494276,0.7448977905002157,0.6089622588510242
23,0.6519047619047618,0.6961679986679987,0.5420989974937344,0.7467394225575164,0.7251822707640561,0.6056446199169323
