Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
1,0.6032894736842105,0.6271078793784547,0.5266503523358361,0.6811081640371275,0.6340184379771019,0.5667195192937153
2,0.6456766917293233,0.6507683078091503,0.6333454296599459,0.7008996221803117,0.6989419905131571,0.6377290305612773
3,0.681453634085213,0.6856805108507054,0.6776661176338595,0.7109435786083509,0.7240912714302927,0.6758697116395449
4,0.6707393483709273,0.674273587571718,0.6547294664714018,0.7327448138964074,0.7360161614357164,0.6608918216943336
5,0.6850563909774435,0.6925976990906866,0.6682592054003345,0.7271720634385932,0.7360109385847707,0.6762270253824958
6,0.6831453634085214,0.693704262205541,0.6612992719645946,0.7269106183107228,0.7358155445631642,0.6726628659352095
7,0.6956140350877192,0.7030847031681293,0.6776761125672417,0.7348708493316911,0.7452528366874043,0.6881995311626229
8,0.6848684210526317,0.6974775177346391,0.6560139323042549,0.7445211603526594,0.7423226342639471,0.6720034946681326
9,0.686654135338346,0.7015587649897995,0.6483181880843171,0.7376424797388875,0.7394598068567104,0.6699538015020916
10,0.7009085213032582,0.7279206160366896,0.6459839160242387,0.7361393431181574,0.7411045132855459,0.6794838080089457
11,0.6831140350877194,0.7055049053535803,0.634686139875656,0.7377521068546934,0.7398361615090332,0.6633083634478781
12,0.7026942355889724,0.7321987632557347,0.6518385106530268,0.7416379200234144,0.7529444656385478,0.6835010281543126
13,0.6832393483709274,0.712761577194596,0.6203544254431351,0.7462118923982509,0.7495772786876957,0.6571179851419988
14,0.6796052631578947,0.7043581352759132,0.6218122082517243,0.741257813874438,0.7464749983567383,0.6564219643832732
15,0.6725250626566417,0.7051247930813147,0.6039579607966704,0.745926321802512,0.7413521290475789,0.6454908938754933
16,0.6546992481203008,0.6786694667339829,0.5841615212744246,0.7334544067347595,0.746105529783941,0.6223831177484571
17,0.6849310776942356,0.7173654550688796,0.6191488210117242,0.7403691761681979,0.7461556921737877,0.6600100080812112
18,0.6778822055137844,0.7108563899868248,0.602614873328583,0.7350868839954137,0.7435845173086106,0.6478738764287567
19,0.6672932330827067,0.7023078338730512,0.5843862778499875,0.7393162959650874,0.7404944223259026,0.6344441299819398
20,0.681422305764411,0.7143322631233938,0.6089040377185537,0.7345865577123419,0.743800224827649,0.6528900405814666
21,0.6831140350877194,0.7162023471608621,0.613942883281593,0.7253882734402867,0.7371814509414396,0.6554323470601313
22,0.6583020050125313,0.6900604225495865,0.5726252752623722,0.7293293763714301,0.7350889940139119,0.6211037316067669
23,0.681484962406015,0.7224417989417989,0.6040470894099926,0.7357153689403235,0.7442542668864928,0.6529787561235284
24,0.6707706766917293,0.7124823518340142,0.5839300488937587,0.7340279848951409,0.7387085120235714,0.6367579403020975
25,0.6600877192982456,0.6924051369735501,0.5720075869471031,0.7268339753848745,0.7314915244361735,0.6221026684574704
26,0.6636591478696742,0.6981035437991959,0.57647426378878,0.7460819785680561,0.7412049965927221,0.6286344389989051
27,0.6671679197994987,0.7012874887261076,0.5850098118727152,0.7306240437229627,0.7271998741493679,0.6343183721447399
28,0.6583020050125312,0.6953268953268953,0.5711622147267309,0.7358495701939776,0.7358523989276513,0.6231723734374299
29,0.6654135338345866,0.7120424556374213,0.5637510798639831,0.7327235205173501,0.7249785685936452,0.6233621526927203
30,0.656610275689223,0.7059109730848862,0.5538253065632098,0.7314098901171477,0.7210640865671832,0.6137248791276924
31,0.6689849624060151,0.7117617184543419,0.5678872489517651,0.7264436589338821,0.7297687818330406,0.6293556798089825
32,0.649498746867168,0.6912426811683104,0.5439779640908673,0.7055985988569815,0.7011096365089903,0.603616399031702
33,0.67437343358396,0.7300261013496308,0.5564898500543662,0.7376312445986879,0.7354493106990476,0.6287225334943021
34,0.6546992481203007,0.6923010697742156,0.5479572858443826,0.7320618355209545,0.7248255405978441,0.6088487728458675
