Datatype,Model,Year,Size,Features,Average Accuracy,Average Precision,Average Recall,Average F-Score,Average ROC AUC,Average PR AUC
ADNI,XGBoost,2yrs,1152,55,0.639767616191904,0.656198215039343,0.573513619950882,0.673493501147778,0.683763201276575,0.636166372916581
ADNI,XGBoost,4yrs,754,55,0.693561403508772,0.715966382672265,0.638411692320361,0.76793678731947,0.768644234814948,0.689438789809046
ADNI,XGBoost,6yrs,464,55,0.706521739130435,0.728681384405069,0.671055732766259,0.754230482943255,0.760752092788134,0.703688248060984
ADNI,XGBoost,8yrs,222,55,0.748221343873518,0.770275835275835,0.73951048951049,0.763828328549193,0.762918571327662,0.743974097543622
ADNI,NN,6yrs,464,9,[0.77765957],0.825003673933341,0.576269334953545,0.77600173127892,0.761580031588041,0.649714336370106
ADNI,XGBoost,6yrs,464,9,0.72372802960222,0.74992002734108,0.681771410850358,0.772371883642576,0.77144802415569,0.720829082015612
ADNI,SVM,6yrs,464,9,0.727983348751156,0.729474539900248,0.720255246702615,0.756342958437539,0.765704957714969,0.724197582794633
ADNI,RF,6yrs,464,9,0.736493987049029,0.75729957304328,0.6985703526493,0.777999028166104,0.76733410994252,0.73292642494758
ADNI,NN,6yrs,464,10,[0.77109158],0.772055589338198,0.585768081820713,0.758702831269678,0.760059446581472,0.662266614440527
ADNI,XGBoost,6yrs,464,10,0.736493987049029,0.748120998039964,0.721211045289993,0.797301717872701,0.78948403303409,0.73363676719798
ADNI,SVM,6yrs,464,10,0.695652173913043,0.690260514903838,0.705352649300018,0.769404374486499,0.775584944485974,0.691373879356375
ADNI,RF,6yrs,464,10,0.721276595744681,0.730866017404919,0.710840674919622,0.787146351017464,0.781625034618742,0.718978192441347
ADNI_APOE,NN,6yrs,464,10,[0.77331175],0.795150966183575,0.609743360927572,0.772168048795307,0.770652948384356,0.686532489597006
ADNI_APOE,XGBoost,6yrs,464,10,0.738575393154486,0.741598773503808,0.72945039366092,0.800588116936192,0.794914337865711,0.735762000592295
ADNI_APOE,SVM,6yrs,464,10,0.710915818686402,0.719347999445253,0.689448178527126,0.78535814351461,0.793943231783049,0.707350158207202
ADNI_APOE,RF,6yrs,464,10,0.73422756706753,0.727898309494498,0.746257752968279,0.799671995412775,0.797242905666247,0.731026461271113
Progression from CN cases,,,,,,,,,,
ADNI,NN,4yrs,128,8,[0.7974359],0.567762237762238,0.562063492063492,0.616260458291708,0.586587301587302,0.511865258924083
ADNI,XGBoost,4yrs,128,8,0.53974358974359,0.513333333333333,0.480515873015873,0.552773564398564,0.525347222222222,0.513900904307251
ADNI,SVM,4yrs,128,8,0.63974358974359,0.621785714285714,0.629642857142857,0.652618425721104,0.667123015873016,0.624449365993484
ADNI,RF,4yrs,128,8,0.516025641025641,0.497023809523809,0.487460317460317,0.553868636158815,0.50905753968254,0.491073020117138
ADNI,NN,4yrs,128,27,[0.71025641],0.455,0.221666666666667,0.599805889216604,0.568144841269841,0.275555555555556
ADNI,XGBoost,4yrs,128,27,0.53974358974359,0.528333333333333,0.487023809523809,0.584818270243865,0.546547619047619,0.525084564128682
ADNI,SVM,4yrs,128,27,0.563461538461538,0.579047619047619,0.560515873015873,0.603371551508456,0.591527777777778,0.55479686979687
ADNI,RF,4yrs,128,27,0.57051282051282,0.566666666666667,0.53547619047619,0.591315053993625,0.564285714285714,0.546527222777223
ADNI,NN,4yrs,128,27,[0.71025641],0.455,0.221666666666667,0.599805889216604,0.568144841269841,0.275555555555556
ADNI,XGBoost,4yrs,128,27,0.53974358974359,0.528333333333333,0.487023809523809,0.584818270243865,0.546547619047619,0.525084564128682
ADNI,SVM,4yrs,128,27,0.563461538461538,0.579047619047619,0.560515873015873,0.603371551508456,0.591527777777778,0.55479686979687
ADNI,RF,4yrs,128,27,0.57051282051282,0.566666666666667,0.53547619047619,0.591315053993625,0.564285714285714,0.546527222777223
ADNI,NN,4yrs,128,6,[0.79679487],0.491282051282051,0.6375,0.609042469710624,0.535515873015873,0.531341991341991
ADNI,XGBoost,4yrs,128,6,0.53974358974359,0.508571428571429,0.470952380952381,0.593098371425752,0.52015873015873,0.517221357074298
ADNI,SVM,4yrs,128,6,0.594230769230769,0.611269841269841,0.579246031746032,0.608736497739474,0.622232142857143,0.580979649435532
ADNI,RF,4yrs,128,6,0.539102564102564,0.470476190476191,0.4575,0.603753952892346,0.538333333333333,0.50953969233381
ADNI,NN,4yrs,128,6,[0.79679487],0.491282051282051,0.6375,0.609042469710624,0.535515873015873,0.531341991341991
ADNI,XGBoost,4yrs,128,6,0.53974358974359,0.508571428571429,0.470952380952381,0.593098371425752,0.52015873015873,0.517221357074298
ADNI,SVM,4yrs,128,6,0.594230769230769,0.611269841269841,0.579246031746032,0.608736497739474,0.622232142857143,0.580979649435532
ADNI,RF,4yrs,128,6,0.539102564102564,0.470476190476191,0.4575,0.603753952892346,0.538333333333333,0.50953969233381
ADNI,NN,6yrs,464,17,[0.76688252],0.7800111515591392,0.5528121439963545,0.7442129114397122,0.7517209784875689,0.6314382719117213
ADNI,XGBoost,6yrs,464,17,0.7216466234967622,0.7365015830511024,0.6996055163160425,0.7721712308943284,0.7705444615664867,0.7186188807812685
ADNI,SVM,6yrs,464,17,0.7128584643848288,0.7211493540784157,0.6965501506290981,0.7458091157449379,0.748600825809922,0.7096659024678985
ADNI,RF,6yrs,464,17,0.7452358926919519,0.7719823555189735,0.7196688691425533,0.7817811842621479,0.7758830203083636,0.7425129724597169
ADNI_from_cn,XGBoost,4yrs,128,7,0.5467948717948717,0.5479761904761904,0.5110714285714285,0.6179694751897133,0.5645436507936508,0.5345721598662776
ADNI_from_mci,XGBoost,4yrs,354,25,0.6575396825396826,0.6848653780000529,0.5889003759398496,0.7395409185684217,0.7309108542052297,0.6544104730422183
ADNI_from_non_ad,XGBoost,4yrs,562,16,0.6725250626566416,0.6987373122381612,0.6082944807581905,0.7277600202664725,0.735093643412789,0.6686475532304978
