FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
KronosII_P01_6.0_D03_ROS21117192.CEL ROS21117192 -0.00894285 -0.0054188 -0.00624258 0.00848437 -0.0201803 0.00218159 -0.00174304 0.00606523 0.0120058 -0.00402096
KronosII_P01_6.0_D04_ROS20996621.CEL ROS20996621 -0.00464503 -0.00162046 -0.00579656 0.00239933 -0.0243543 -0.0048327 -7.64136e-05 -0.00808006 0.000617349 0.00722595
KronosII_P01_6.0_D06_ROS20730959.CEL ROS20730959 0.00277316 0.00625121 -0.00234989 0.00571485 -0.0223778 -0.00202602 -0.00151672 0.000291925 -0.00266887 0.000689991
KronosII_P01_6.0_D07_ROS21405627.CEL ROS21405627 -0.00345412 0.00268878 -0.000176971 -0.0015163 -0.000831487 -0.00438481 0.00700938 0.00333314 0.00663912 0.00401492
KronosII_P01_6.0_D08_ROS20966477.CEL ROS20966477 -0.00314724 0.00647106 -0.00274429 0.000333566 -0.0241654 -0.000588731 -0.000750079 0.00619286 -0.0006533 0.00610295
KronosII_P01_6.0_D09_ROS20594669.CEL ROS20594669 0.0109816 -0.00768073 -0.00653779 0.00350372 -0.0284525 0.0053597 0.000596448 0.000112723 0.00496987 0.00111221
KronosII_P01_6.0_D12_ROS20611993.CEL ROS20611993 0.0211924 -0.00913779 -0.0104488 0.0122767 -0.021796 -0.0126557 0.00297066 -0.0126057 0.00312069 0.000618258
KronosII_P01_6.0_E01_ROS10533083.CEL ROS10533083 -0.00420409 0.00603438 -0.00809374 0.00739356 -0.0229959 0.002663 0.00158826 -0.00418247 -0.000102224 -0.00335033
KronosII_P01_6.0_E02_ROS10460587.CEL ROS10460587 0.000500859 0.00555099 -0.00332706 0.00139498 -0.0264774 -0.00163231 0.000922191 -0.00639546 0.00160551 -0.00203415
KronosII_P01_6.0_E03_ROS20500815.CEL ROS20500815 0.0154604 -0.00123741 -0.00942076 0.00366849 -0.0208836 0.00195195 0.00777999 0.00447314 0.0025286 -0.006063
KronosII_P01_6.0_E04_ROS21142003.CEL ROS21142003 -0.0006379 0.00898996 -0.00334578 -0.00571285 -0.0202412 0.00440009 0.00558452 0.000493036 -0.00654095 -0.0038657
KronosII_P01_6.0_E05_ROS20946545.CEL ROS20946545 0.00222543 0.00422042 -0.0016985 -4.83651e-05 -0.0228111 0.00489802 0.0123147 0.00693109 0.00772987 0.000351809
KronosII_P01_6.0_E06_ROS10460299.CEL ROS10460299 -0.00999883 -0.0017469 0.00656014 0.0140979 -0.0253632 -0.00905649 0.00283387 0.00971984 -0.00653351 -0.00161413
KronosII_P01_6.0_E07_ROS20956605.CEL ROS20956605 0.00196528 0.00426423 -0.00686085 0.000670195 -0.0237049 0.0033063 0.00865248 0.00367909 -0.0129429 -0.00552654
KronosII_P01_6.0_E09_ROS20521752.CEL ROS20521752 -0.00188319 0.0105283 -0.00715914 0.00191697 -0.0251251 -0.00191682 0.00109315 0.00443553 -0.00382382 0.00165316
KronosII_P01_6.0_E10_ROS20339740.CEL ROS20339740 -0.01164 -0.00320122 -0.00651068 0.00897276 -0.0247151 0.00435377 -0.00679014 0.00436749 -0.000423634 0.00342103
KronosII_P01_6.0_E11_ROS21181988.CEL ROS21181988 -0.00960411 -0.00258408 -0.00882919 0.00192324 -0.0179815 0.000442681 0.00118992 0.00342359 -0.000959643 0.00143262
KronosII_P01_6.0_F01_ROS11259716.CEL ROS11259716 -0.00100605 0.00478373 -0.000648556 -0.0028038 -0.0269196 0.000538893 -0.0075284 -0.00614655 0.00308709 0.00273292
KronosII_P01_6.0_F02_ROS20128523.CEL ROS20128523 -0.00989765 -0.00267993 -0.00667537 0.0120019 -0.0228453 -0.000757811 0.00818765 -0.00429319 0.0128774 0.00271284
KronosII_P01_6.0_F03_ROS20177982.CEL ROS20177982 0.00111604 0.00405958 -0.00628387 -0.0021603 -0.0236868 0.000362767 0.0031242 0.00224772 -0.000341771 0.0035982
KronosII_P01_6.0_F04_ROS10572120.CEL ROS10572120 -0.00805218 -0.00388685 -0.00727342 0.00658443 -0.026813 -0.00187233 0.00449034 -0.00509082 -0.000943845 -0.000964577
KronosII_P01_6.0_F05_ROS21174303.CEL ROS21174303 -0.00863218 -0.00132456 -0.00486815 0.00736465 -0.00707333 0.00312188 0.00905935 0.000648209 0.00530422 -0.00147179
KronosII_P01_6.0_F11_ROS21001807.CEL ROS21001807 -0.00170047 0.0133229 -0.00783636 0.0052117 -0.0256185 -0.0106376 -0.0100619 -0.00195614 0.000717436 0.00326653
KronosII_P01_6.0_F12_ROS10669174.CEL ROS10669174 -0.00647987 -0.00318849 -0.00203091 0.00554673 -0.00969302 -0.00648118 0.0125274 0.00624931 -0.00284703 0.00374666
KronosII_P01_6.0_G01_ROS20102505.CEL ROS20102505 -0.00496262 -0.00437216 -0.00573893 0.00378784 -0.0199388 -0.00232309 0.000276022 0.00827242 0.00233681 4.45016e-05
KronosII_P01_6.0_G02_ROS20487369.CEL ROS20487369 -0.0019486 0.00439729 -0.0032554 0.0019943 -0.0264987 0.0042493 0.00341612 0.0064317 -0.00122275 0.00335025
KronosII_P01_6.0_G03_ROS10479920.CEL ROS10479920 0.0013076 0.0072485 -0.00835604 0.00170017 -0.0313117 0.00296657 -0.00321698 0.00375597 -0.00677013 0.0121902
KronosII_P01_6.0_G04_ROS11430815.CEL ROS11430815 -0.0120531 -0.00451531 -0.00444058 0.0112043 -0.0257733 -0.00233702 -0.00534297 0.00134517 0.00787329 -6.75745e-05
KronosII_P01_6.0_G05_ROS11310844.CEL ROS11310844 -0.0107932 -0.004587 -0.00694894 0.00958879 -0.0169552 -0.00718539 0.00273473 0.00595539 0.00394567 -0.0105445
KronosII_P01_6.0_G06_ROS10208143.CEL ROS10208143 -0.00122708 -0.00184001 -0.00267602 -0.00251585 -0.0229774 -0.00454956 -0.00339083 0.00729057 0.00117292 0.000904075
KronosII_P01_6.0_G07_ROS10536568.CEL ROS10536568 -0.0117876 -0.00497358 -0.00629309 0.00994214 -0.0210087 -0.00202692 -0.000469377 -0.000831078 -0.00226129 0.000776133
KronosII_P01_6.0_G08_ROS11697592.CEL ROS11697592 -0.00668718 -0.00206272 -0.00588577 0.00392811 -0.0240405 -0.00574903 0.00547012 -0.00256138 0.000918701 0.00467366
KronosII_P01_6.0_G09_ROS15121461.CEL ROS15121461 -0.0102651 -0.00565054 -0.00804599 0.0121611 -0.0206606 0.00326857 0.010195 -0.00860841 -0.00198559 0.000449686
KronosII_P01_6.0_G10_ROS20603141.CEL ROS20603141 -0.000422873 0.00408321 -0.00433548 -0.00555824 -0.0277978 0.00372443 -0.00126711 -0.000292476 0.00438313 0.00507568
KronosII_P01_6.0_G11_ROS21172121.CEL ROS21172121 -0.00604235 0.00140677 -0.00456973 0.00678346 -0.0249333 -0.00014822 0.00413827 -0.00431667 0.00507919 -0.00838878
KronosII_P01_6.0_G12_ROS20174533.CEL ROS20174533 -0.0117327 -0.00526401 -0.0061339 0.00912216 -0.019497 -0.000715971 0.00641762 -0.00628699 0.00188161 0.00312077
KronosII_P01_6.0_H01_ROS15113169.CEL ROS15113169 -0.00957622 -0.00731477 -0.0101184 0.0153315 -0.020052 0.00276837 0.00581415 -0.00483638 -0.00430428 0.000851602
KronosII_P01_6.0_H02_ROS20956867.CEL ROS20956867 0.000691136 0.00702819 -0.00247922 -0.000903643 -0.00124319 -0.00464787 0.00719992 0.000674615 0.000783116 0.00401169
KronosII_P01_6.0_H03_ROS21117516.CEL ROS21117516 -0.0110157 -0.00284457 -0.0080327 0.0098436 -0.0231441 -0.00164099 0.00411771 -0.00475105 -0.00617467 -0.00140739
KronosII_P01_6.0_H04_ROS20610726.CEL ROS20610726 -0.00183272 0.00724141 -0.00315973 0.000801149 -0.0258085 0.00818237 0.00387807 0.00115846 0.010713 -0.00235953
KronosII_P01_6.0_H05_ROS10850171.CEL ROS10850171 -0.00260986 0.00360604 -0.00633566 0.00206504 -0.0284849 -0.000974858 0.00444674 0.00919852 0.00489689 0.00537217
KronosII_P01_6.0_H06_ROS21412626.CEL ROS21412626 0.00205517 0.00317897 -0.00256459 -0.00175823 -0.0276683 0.00226893 -0.00442088 0.0084178 -0.00373361 -0.00209424
KronosII_P01_6.0_H07_ROS20431359.CEL ROS20431359 -5.12817e-05 0.00114431 -0.00563317 0.00232817 -0.0238367 0.00470524 -0.00249592 0.000307172 -0.0106622 0.00258354
KronosII_P01_6.0_H08_ROS20665307.CEL ROS20665307 0.0122291 -0.00041701 -0.00552466 0.00502358 -0.0114383 0.000452894 0.00467533 0.002932 -0.00604356 0.00339002
KronosII_P01_6.0_H09_ROS20376029.CEL ROS20376029 -0.0114423 -0.00651863 -0.00716436 0.00785967 -0.00037771 0.00214283 0.00323474 0.00120335 0.00460833 0.00163272
KronosII_P01_6.0_H10_ROS15420223.CEL ROS15420223 -0.00693732 -0.00153361 -0.00588265 0.00315927 -0.0268566 0.00182921 0.000949863 -0.00189407 0.0012419 0.00142523
KronosII_P02_6.0_A08_ROS21401399.CEL ROS21401399 -0.00514 0.00118405 -0.000459315 0.00248151 0.00134685 0.00510593 -0.0242004 -0.000785209 -0.00496184 -0.00428937
KronosII_P02_6.0_A09_ROS10235948.CEL ROS10235948 -0.00271772 0.00152734 0.000742702 0.000668458 0.0063092 0.00225919 -0.00523894 0.00796769 -0.00569576 -0.00316263
KronosII_P02_6.0_A10_ROS15114174.CEL ROS15114174 -0.00707921 -0.00655851 -0.00585336 0.00645235 -0.000352919 0.0038521 -0.0257659 0.000814492 0.00127427 -0.00837287
KronosII_P02_6.0_A12_ROS10684501.CEL ROS10684501 0.00195043 0.0184895 -0.00213233 0.00254166 -0.00103015 0.0110281 -0.0330557 -0.0036765 -0.00100344 -0.00900618
KronosII_P02_6.0_B01_ROS10417638.CEL ROS10417638 -0.00637637 -0.00167477 -0.00150755 0.00240455 0.00167949 0.00402222 -0.0289567 -0.00586142 0.0010819 -0.00550825
KronosII_P02_6.0_B02_ROS20288196.CEL ROS20288196 -0.00027975 -0.00503099 -0.00235533 -0.00348331 -0.00119373 -0.00250461 -0.0249287 -0.000805227 -4.36953e-05 -0.00387186
KronosII_P02_6.0_B03_ROS20240514.CEL ROS20240514 -0.00963258 0.000455088 0.00852829 0.00273544 0.00119901 -0.000831868 0.0016117 -0.00316273 0.00439775 -0.000511687
KronosII_P02_6.0_B05_ROS20171508.CEL ROS20171508 0.00138926 8.28666e-05 0.00106179 -0.00672378 0.000608007 0.00501293 -0.00147621 0.000596342 0.00686245 -0.00113664
KronosII_P02_6.0_B06_ROS20969114.CEL ROS20969114 -0.00165409 0.000510561 0.00310046 -0.00752225 -0.00372244 0.00529211 -0.0290276 -0.00325912 -0.000190345 -0.00518736
KronosII_P02_6.0_B08_ROS10249336.CEL ROS10249336 -0.00276684 0.00524451 -0.00309499 -0.00406924 8.34521e-05 0.0020364 -0.00666968 0.00675632 -0.00178174 0.00315265
KronosII_P02_6.0_B10_ROS20970441.CEL ROS20970441 -0.00152412 0.00852703 -0.000733795 -0.00297728 -0.000510481 0.00955195 -0.0201378 0.00260228 0.00318261 0.0038127
KronosII_P02_6.0_B11_ROS21000504.CEL ROS21000504 -0.0116837 -0.00397168 -0.00410872 0.00864114 -0.000600228 0.0056715 -0.0294993 -0.00313252 -0.00171752 -0.00560922
KronosII_P02_6.0_C05_ROS11327005.CEL ROS11327005 -0.0119698 -0.00726866 -0.0057787 0.00554967 0.00844147 0.000478404 0.00365594 -0.00291883 0.0016424 0.00786547
KronosII_P02_6.0_C09_ROS21193068.CEL ROS21193068 -0.0089443 -0.00454061 -0.00179932 0.00908674 0.001031 -0.005374 0.00848577 -0.000907588 2.33692e-05 -0.00693654
KronosII_P02_6.0_C10_ROS10101291.CEL ROS10101291 -6.4334e-05 0.00630872 -0.00376742 -0.00352959 0.00167521 0.000419173 -0.00288995 -0.000731732 0.00232518 0.00505175
KronosII_P02_6.0_C11_ROS20929774.CEL ROS20929774 0.00118961 0.000901379 0.000654396 -0.00307517 -0.00370807 1.33831e-05 -0.030213 0.00108053 0.00107873 -0.00126143
KronosII_P02_6.0_D04_ROS20660226.CEL ROS20660226 0.0226158 -0.0141401 -0.00345765 0.00840852 -0.000384448 0.00222445 -0.0236779 -0.00914167 -0.00101731 -0.000682223
KronosII_P02_6.0_D05_ROS10485914.CEL ROS10485914 0.0125907 -0.000358673 0.0219555 0.0135199 -0.00212762 -0.00149846 -0.00562936 0.00489209 0.0141826 -0.00536083
KronosII_P02_6.0_D07_ROS11349119.CEL ROS11349119 -0.012126 -0.00800548 -0.00533105 0.00678797 0.00361923 0.00937388 -0.012887 -0.00483801 0.00100942 0.00163122
KronosII_P02_6.0_D08_ROS15797073.CEL ROS15797073 0.00136332 0.00509533 0.000300072 -0.0077646 0.00165138 0.0054806 0.00683751 -0.00163377 -0.00438697 -0.000928471
KronosII_P02_6.0_D10_ROS20233939.CEL ROS20233939 -0.011299 -0.0041424 -0.00631141 0.00627061 0.00580056 -0.00467573 0.0055303 -0.00285185 -0.00195685 0.00620709
KronosII_P02_6.0_D11_ROS11460357.CEL ROS11460357 -0.00958883 -0.00565276 -0.00470179 0.00282589 0.00563921 0.00168834 -0.00822996 -0.000957026 0.00351615 -0.0030361
KronosII_P02_6.0_D12_ROS20156469.CEL ROS20156469 -0.00758643 -0.00318477 -0.00373015 0.00593941 -3.36858e-05 0.00506236 -0.0268409 0.00657987 -0.0013642 0.00317045
KronosII_P02_6.0_E01_ROS15483818.CEL ROS15483818 0.0191133 -0.00901611 -0.00118625 0.00804212 -0.00188621 -0.000647633 0.00442444 -0.000659599 -0.00163327 0.00402167
KronosII_P02_6.0_E05_ROS20311676.CEL ROS20311676 -0.0104748 -0.00340647 -0.00217413 0.00716526 0.00331571 -0.00074166 -0.000849057 -0.00188189 -0.00285645 0.0044474
KronosII_P02_6.0_E06_ROS15144878.CEL ROS15144878 -0.0110937 -0.0077826 -0.00310218 0.00903202 0.00374864 0.00366692 -0.00286243 -0.00443259 0.00611426 -0.000103396
KronosII_P02_6.0_E07_ROS11467746.CEL ROS11467746 -0.0108128 -0.00640368 0.0104432 0.0113713 0.000590579 0.0067579 0.0073903 -0.00558638 -0.00377203 -0.00340647
KronosII_P02_6.0_E08_ROS10502798.CEL ROS10502798 -0.0103023 -0.00510629 -0.00423069 0.00437675 0.00315504 0.0013926 0.00105204 -0.00187373 -0.00460472 -0.00521316
KronosII_P02_6.0_E09_ROS20906493.CEL ROS20906493 -0.00127088 0.00674815 0.0104058 0.00248992 0.000974147 0.00226599 -0.00434335 -0.00874066 0.00434312 -0.0016802
KronosII_P02_6.0_E10_ROS20164059.CEL ROS20164059 -0.00507236 0.00106176 -0.00301791 0.00154078 0.00312064 0.00241525 0.0028109 0.000798914 -0.0076418 -0.00392007
KronosII_P02_6.0_E11_ROS10202345.CEL ROS10202345 -0.00221728 -0.00060092 -0.00210593 -0.00193003 0.000829927 0.00319336 -0.0257892 -0.00568182 -0.00509032 -0.00852156
KronosII_P02_6.0_E12_ROS20236838.CEL ROS20236838 -0.0104406 -0.0054885 -0.00507556 0.0106196 0.00213024 0.0065511 -0.0267294 -0.00213812 -0.00357313 -0.000640446
KronosII_P02_6.0_F03_ROS20602974.CEL ROS20602974 0.000255036 0.00354016 -0.000801104 -0.0018992 -0.00332355 0.0126618 -0.029296 -0.00146508 0.00385038 -0.00905519
KronosII_P02_6.0_F04_ROS20141228.CEL ROS20141228 -0.0108253 -0.00472368 -0.003529 0.00751466 0.00632982 0.00120524 0.000622901 0.000709902 0.00170463 0.00356566
KronosII_P02_6.0_F05_ROS20139850.CEL ROS20139850 -0.00858858 -0.00607079 0.000187821 0.00296951 -0.000898042 0.00230116 0.00016657 0.00609043 -0.00423509 0.00936495
KronosII_P02_6.0_F07_ROS20195344.CEL ROS20195344 -0.00493315 0.000769604 0.0290361 0.00891166 -5.93378e-05 -0.00518224 -0.00299454 -0.0013688 0.000916917 0.00414015
KronosII_P02_6.0_F08_ROS20147026.CEL ROS20147026 -0.0115035 -0.00730401 -0.00309153 0.00975754 0.00228817 0.00409146 -0.00243362 -0.00103955 0.00307269 0.00316342
KronosII_P02_6.0_F09_ROS20506325.CEL ROS20506325 0.00113947 0.00951707 0.00181728 -0.00212892 0.00286532 0.0040213 -0.00204202 0.00285447 0.00337088 0.00465732
KronosII_P02_6.0_F10_ROS21402016.CEL ROS21402016 -0.0102292 -0.00737255 -0.00188951 0.00644474 0.00413007 -0.00119944 -0.000890701 -0.0033782 -0.00456472 0.00141812
KronosII_P02_6.0_G02_ROS21000766.CEL ROS21000766 -0.00155385 0.0021121 0.0114293 0.00322152 -0.00158511 0.00392453 0.00346543 -0.00233359 -0.000862651 -0.000280567
KronosII_P02_6.0_G03_ROS20249897.CEL ROS20249897 -0.00725791 -0.00650742 -0.0020216 0.00212126 -0.00201236 -0.00487088 0.00127035 -0.00348054 -0.00289095 0.00838106
KronosII_P02_6.0_G05_ROS21101658.CEL ROS21101658 0.00138113 -0.00681008 -0.0038253 0.003826 0.00225289 0.00478858 0.0046371 -0.00245717 -5.1095e-05 -0.00567594
KronosII_P02_6.0_G07_ROS10929637.CEL ROS10929637 -0.00355411 0.00244922 0.000123169 -0.00502551 0.000989892 -0.00619201 0.0057586 -0.00572233 0.0039074 -0.00176205
