Feature_Length,Accuracy,Precision,Recall,AUPRC,AUROC,F1_Score
1,0.6082191780821917,0.6194187086931047,0.5900574887566797,0.6748944714544786,0.660078407211634,0.600783617689655
2,0.6287671232876713,0.6344669747762387,0.6150906044364548,0.6973640228564639,0.6975927601908827,0.621481674163921
3,0.6397260273972603,0.6535246901791021,0.6130202720590218,0.6790095996142813,0.6957538006584245,0.6286882812954996
4,0.6410958904109589,0.6496857684229436,0.6264720942140298,0.6731605450870147,0.688098329397141,0.634562376341921
5,0.6547945205479452,0.6631945505474918,0.6401709919961194,0.691979152748659,0.6967634955625568,0.6476627479422695
6,0.6438356164383562,0.6510714640107055,0.635531792796349,0.6660886838362085,0.6823454272175933,0.6392818694659269
7,0.6630136986301369,0.6673279995260202,0.6567789889017294,0.6714883872640882,0.6984837139201464,0.6589091281619402
8,0.6452054794520548,0.6561574799721352,0.6312507470447148,0.6662778299618425,0.6813252431278997,0.6381417884091419
9,0.6506849315068493,0.6617906522887578,0.6258715733039113,0.6683117326121824,0.6778714925653905,0.6398740509721905
10,0.6493150684931508,0.6575746647642331,0.6387778982560767,0.6547194624676352,0.6846265840613188,0.6436534257642587
11,0.6479452054794521,0.649281852998729,0.6504163080059414,0.6541856149884514,0.6818749146223428,0.6457747216641272
12,0.6547945205479451,0.6607078579659225,0.6460360499604482,0.6622893369488014,0.6818057230316292,0.6499828990751672
13,0.647945205479452,0.6507439852395945,0.6453129186026418,0.6522015072796166,0.6840746720877551,0.6446965912333725
14,0.6383561643835617,0.6414599503030883,0.6298770249469341,0.6465943018450597,0.6736090738377766,0.632620356196263
15,0.6287671232876713,0.6334897396439663,0.6176923015952278,0.6469137182791459,0.6671758511117345,0.6215702002150819
16,0.6041095890410958,0.606326086969327,0.608949064628681,0.6184632487208779,0.6447407162722254,0.6034676652214226
17,0.636986301369863,0.6438365569947349,0.6332426417086359,0.6479866650341504,0.6580455818945782,0.6329872291911969
18,0.6123287671232877,0.6176587788084641,0.5977691540679656,0.6355088551335819,0.6561295164650802,0.6031375698687687
19,0.6205479452054794,0.6265457317814228,0.6201489730017643,0.6425608952761821,0.6666409046090461,0.6180689760144416
20,0.6205479452054795,0.6255687366170168,0.6124204328024362,0.6179664163537053,0.6518345028801436,0.6125411816671693
21,0.5849315068493149,0.5941342421544844,0.5565341088331202,0.596227635116129,0.6181070560157746,0.5685989710101401
22,0.6123287671232878,0.6218921880993064,0.5865864455572835,0.6334051840206604,0.655169721727197,0.5997268027769286
23,0.5986301369863014,0.6033808428832719,0.5952966064750745,0.6484294323732307,0.6504494761535609,0.5941145885241965
24,0.5931506849315069,0.6056079553252975,0.5679309833724095,0.6243254540440419,0.641485859245272,0.5794424284266784
25,0.5863013698630136,0.5915766382318632,0.5805128333166883,0.6202992265665965,0.623049188267904,0.5811804519466179
26,0.6205479452054795,0.6284246793786268,0.6095793167295215,0.6463937408481748,0.6642155978174153,0.613543198247334
27,0.5849315068493152,0.5869142264857925,0.5798696535773336,0.6085449887405708,0.6311698800897843,0.5795684726739347
